repr,n,time
Vertex Matrix,100,3.59333e-07
Incident Matrix,100,6.45145e-05
Incidence List,100,6.47785e-07
Edge List,100,0.000132932
Vertex Matrix,150,1.98391e-07
Incident Matrix,150,6.3635e-05
Incidence List,150,6.67038e-07
Edge List,150,0.000140362
Vertex Matrix,200,1.97616e-07
Incident Matrix,200,6.31479e-05
Incidence List,200,6.25777e-07
Edge List,200,0.000104449
Vertex Matrix,250,1.59248e-07
Incident Matrix,250,4.87609e-05
Incidence List,250,4.46567e-07
Edge List,250,0.000100445
Vertex Matrix,300,1.51851e-07
Incident Matrix,300,4.9105e-05
Incidence List,300,4.41751e-07
Edge List,300,0.000102495
Vertex Matrix,350,1.57755e-07
Incident Matrix,350,5.41046e-05
Incidence List,350,4.74761e-07
Edge List,350,0.000108767
Vertex Matrix,400,1.74331e-07
Incident Matrix,400,5.27098e-05
Incidence List,400,4.62403e-07
Edge List,400,0.000108367
Vertex Matrix,450,1.7217e-07
Incident Matrix,450,5.37498e-05
Incidence List,450,5.2885e-07
Edge List,450,0.000108969
Vertex Matrix,500,1.53392e-07
Incident Matrix,500,5.36782e-05
Incidence List,500,4.70449e-07
Edge List,500,0.000108473
Vertex Matrix,550,1.54897e-07
Incident Matrix,550,5.27822e-05
Incidence List,550,4.60984e-07
Edge List,550,0.000100504
Vertex Matrix,600,1.53493e-07
Incident Matrix,600,4.9468e-05
Incidence List,600,4.58698e-07
Edge List,600,0.000101295
Vertex Matrix,650,1.53986e-07
Incident Matrix,650,4.95803e-05
Incidence List,650,4.42978e-07
Edge List,650,0.00010227
Vertex Matrix,700,1.66894e-07
Incident Matrix,700,4.96148e-05
Incidence List,700,4.45656e-07
Edge List,700,0.0001022
Vertex Matrix,750,1.54886e-07
Incident Matrix,750,4.98091e-05
Incidence List,750,4.43762e-07
Edge List,750,0.000103546
Vertex Matrix,800,1.57541e-07
Incident Matrix,800,4.98364e-05
Incidence List,800,4.40035e-07
Edge List,800,0.000102454
